bias mitigation,other,accuracy,precision,recall,f1score,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness
FYP VAE,"'Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",6,12,12,10,2,4,0,1,0
FYP VAE,"'Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'",4,17,10,6,2,3,0,0,0
FYP VAE,"'Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'",6,16,12,8,3,4,0,1,0
FYP VAE,"'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'",7,14,12,10,2,2,0,1,0
FairBalance Bias Mitigation,{},0,2,5,1,3,5,1,2,1
FairMask Bias Mitigation,{},11,18,11,11,1,3,2,4,2
LFR,{'c': 'LFR'},1,2,13,8,2,3,2,1,2
No Bias Mitigation,{},0,0,0,0,0,0,0,0,0
Reweighing Bias Mitigation,{},0,1,7,3,0,3,0,0,0
,,32,32,32,32,32,32,32,32,32
